cgpa,branch,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,salary_lpa
7.6,4,3,1,1,0,1,40.3,4.8,41.7,2,5,0,92.5,3,1,1,3,74.49
8.18,3,3,1,0,1,0,45.1,9.5,57.9,1,1,2,60.0,2,1,0,3,72.91
9.9,4,2,1,0,0,0,7.6,4.8,47.7,0,6,0,51.2,1,1,2,1,41.93
7.58,4,3,1,1,0,1,34.5,6.1,41.9,1,5,0,80.4,3,1,0,0,82.0
9.0,1,3,1,0,1,1,6.1,5.7,88.4,2,5,3,92.5,3,1,0,3,87.4
8.6,5,2,0,0,0,1,84.4,8.5,41.8,2,6,0,82.9,1,1,2,0,44.29
6.61,4,1,0,0,0,1,59.4,8.1,87.4,1,4,0,65.2,1,1,2,3,42.16
6.42,0,1,1,1,0,0,98.7,7.6,54.2,0,6,0,72.7,2,1,0,2,85.71
9.21,4,3,0,0,0,1,89.7,7.5,95.0,0,6,0,59.2,1,1,2,1,52.07
7.86,1,2,0,1,0,0,42.5,7.0,54.5,0,2,1,36.9,1,0,0,3,0.0
9.66,5,1,0,1,0,0,54.9,7.3,52.1,1,4,0,63.7,1,1,2,3,47.02
7.06,3,3,0,1,1,1,12.4,8.4,96.3,0,3,2,72.4,3,0,0,3,0.0
8.91,3,3,1,1,1,1,18.6,5.4,78.0,3,1,1,90.1,4,1,0,0,80.4
6.51,5,1,1,1,0,1,38.4,7.3,94.4,1,3,0,75.2,3,1,1,2,55.36
7.48,1,3,1,1,1,1,70.7,8.7,48.6,0,2,1,79.9,4,1,1,0,56.61
5.64,1,2,1,1,0,0,72.2,8.3,78.5,1,4,1,75.9,2,1,1,2,56.36
7.12,2,2,0,1,1,0,10.1,5.5,83.6,1,4,0,68.5,2,1,1,1,49.91
8.03,3,1,1,1,1,1,45.1,4.7,99.1,2,6,1,102.4,4,1,0,0,86.2
8.72,5,1,0,1,0,0,41.5,9.2,95.4,1,3,1,62.1,1,1,2,2,43.04
5.88,1,2,1,0,1,0,58.1,7.8,40.8,1,1,2,54.9,2,0,0,3,0.0
5.43,1,3,1,1,0,0,75.0,5.3,93.9,0,5,0,59.7,2,1,0,1,71.12
7.64,4,2,1,1,0,1,10.3,6.0,44.5,2,2,0,79.4,3,1,0,1,71.19
8.29,5,3,0,0,0,1,2.0,4.6,88.0,0,1,0,31.0,1,0,0,3,0.0
9.94,0,3,1,1,1,1,14.1,6.4,59.4,0,2,0,66.3,4,1,0,0,81.42
9.46,3,1,1,0,0,0,59.0,5.6,77.4,1,6,0,70.4,1,1,2,2,53.15
5.57,2,2,1,1,0,0,48.5,7.1,84.5,1,1,0,52.7,2,1,1,1,57.42
6.36,0,1,0,1,0,0,27.4,7.3,79.1,2,5,0,73.3,1,1,2,2,49.41
8.0,0,3,1,0,1,0,38.3,7.1,42.8,0,3,0,52.2,2,1,0,3,83.35
9.58,0,3,1,1,1,0,95.4,4.8,69.0,0,4,0,67.8,3,1,1,1,55.88
7.37,4,3,0,0,0,1,59.8,6.8,44.6,0,4,0,48.1,1,1,2,3,39.45
9.59,5,1,0,1,0,0,54.2,9.2,83.9,2,5,0,86.1,1,1,2,0,46.39
9.94,5,3,1,0,1,1,18.1,7.4,94.9,0,5,1,74.1,3,1,0,3,87.76
5.27,4,3,1,1,0,1,36.5,7.4,68.9,2,3,0,89.4,3,1,0,1,82.78
6.59,1,2,1,1,0,0,2.4,9.2,41.3,2,5,0,96.9,2,1,0,3,64.57
5.19,1,3,1,1,0,0,9.2,6.0,71.4,2,1,0,61.5,2,0,0,3,0.0
6.48,2,2,0,0,0,1,42.8,6.3,80.8,0,2,1,36.5,1,0,0,3,0.0
9.91,5,2,1,1,1,1,74.3,4.4,64.1,2,6,0,103.3,4,1,0,2,76.96
8.9,4,1,1,0,1,1,92.8,10.0,50.4,1,2,0,85.0,3,1,3,2,112.85
5.17,2,1,1,1,0,0,27.3,6.9,42.7,2,2,1,72.3,2,1,0,1,73.41
6.3,5,1,1,1,0,0,68.3,4.5,91.1,1,6,0,76.7,2,1,1,2,60.27
9.39,0,3,1,1,1,1,70.8,9.0,81.8,1,3,1,88.6,4,1,1,2,56.42
5.64,4,1,0,1,0,1,83.2,7.0,40.4,0,6,0,71.6,2,1,0,2,66.63
5.64,2,1,0,0,0,1,39.2,5.1,85.2,2,4,0,61.0,1,1,2,1,43.58
7.91,2,3,0,1,0,1,97.3,9.8,85.0,0,5,0,70.1,2,1,0,3,89.29
5.01,4,3,0,1,1,0,85.4,7.2,89.6,0,2,1,48.9,2,0,0,3,0.0
9.34,4,3,1,0,1,1,85.7,9.8,85.6,1,3,0,88.3,3,1,0,3,73.23
6.84,4,2,1,1,1,0,86.9,8.7,86.3,2,4,0,99.1,3,1,1,3,76.01
7.31,4,1,0,1,0,0,55.8,5.4,49.6,1,5,0,64.2,1,1,2,2,41.09
5.36,1,2,1,1,0,0,69.5,9.2,86.8,0,6,1,74.1,2,1,0,0,65.27
6.05,3,2,0,1,1,0,53.4,9.3,45.0,2,2,0,74.2,2,1,1,3,67.66
5.84,1,1,0,1,1,0,93.6,4.3,72.5,2,2,0,65.7,2,1,0,2,84.67
7.99,0,2,1,1,0,0,43.9,8.3,75.6,1,1,1,57.1,2,1,0,0,71.64
8.29,0,1,1,1,1,0,99.6,9.8,79.0,0,3,0,73.6,3,1,0,1,77.34
7.08,4,3,1,1,1,1,50.5,7.3,70.8,1,2,1,81.8,4,1,1,3,60.73
7.96,4,2,1,0,0,1,73.3,4.8,82.9,3,2,0,79.1,2,1,1,1,62.38
9.35,2,2,1,1,0,0,16.4,6.3,98.2,0,5,0,64.8,2,1,0,1,67.0
9.42,0,2,1,0,0,1,14.6,6.7,75.3,3,1,0,71.8,2,1,1,2,65.88
9.22,0,3,1,1,1,0,11.2,5.6,43.4,1,4,0,78.2,3,1,0,2,65.88
7.92,0,1,1,0,0,1,1.7,5.9,98.4,1,3,0,64.4,2,1,0,1,70.15
6.01,3,2,1,1,0,1,44.4,9.2,50.6,1,2,0,72.8,3,1,1,3,71.63
5.57,4,2,1,1,0,1,82.7,8.0,74.6,0,2,3,59.5,3,1,0,2,90.79
7.84,4,2,1,1,0,0,66.8,8.8,85.7,2,3,1,80.2,2,1,1,2,60.38
8.05,3,2,1,0,0,0,54.6,6.7,40.9,1,6,0,72.7,1,1,2,3,47.95
9.24,2,2,1,1,0,0,52.7,5.5,68.6,1,6,1,78.7,2,1,1,3,61.84
5.36,4,1,1,1,0,0,47.9,5.2,50.0,1,5,0,68.7,2,1,0,0,70.99
8.58,4,1,0,0,0,0,68.1,5.1,71.5,2,1,0,37.9,0,1,2,2,45.55
7.75,1,2,0,1,1,1,81.9,9.3,53.7,0,2,0,66.5,3,1,1,2,63.57
6.51,0,3,1,1,0,1,76.7,4.9,65.4,0,1,1,53.3,3,0,0,3,0.0
5.48,3,3,0,1,0,0,23.2,6.3,75.7,1,2,0,49.9,1,0,0,3,0.0
7.21,5,1,1,1,0,0,81.9,7.6,60.2,3,5,0,93.7,2,1,0,2,78.17
6.77,5,1,0,1,0,1,23.4,7.2,92.8,1,6,0,81.2,2,1,0,1,72.56
9.98,0,3,1,0,0,0,96.2,7.8,85.3,0,2,0,42.9,1,1,2,2,45.31
8.98,1,1,1,0,0,0,99.2,9.6,72.4,2,5,0,81.4,1,1,2,3,54.93
7.53,0,3,0,0,0,0,34.2,6.3,60.8,0,1,0,22.9,0,0,0,3,0.0
8.0,4,3,1,1,0,1,85.1,5.3,95.8,0,2,0,57.6,3,1,1,2,52.15
9.09,5,1,0,0,0,0,95.7,7.4,96.0,1,5,1,61.4,0,1,2,3,48.9
5.87,1,3,1,0,0,0,6.8,4.2,48.1,3,4,1,68.8,1,0,0,3,0.0
9.68,5,3,1,0,1,0,1.8,7.6,61.9,1,5,1,77.4,2,0,0,3,0.0
9.97,2,2,0,1,1,0,14.2,4.7,58.2,0,4,0,55.4,2,1,0,1,65.24
8.28,1,3,1,1,1,0,65.4,6.1,71.5,1,5,0,87.9,3,1,0,0,81.47
7.91,4,2,1,0,0,0,83.4,7.8,51.9,0,4,0,51.1,1,1,2,3,43.95
5.75,4,3,0,1,0,1,81.1,7.7,91.6,1,2,1,67.7,2,1,0,0,84.12
6.27,3,2,1,0,1,0,63.7,8.0,93.7,1,1,0,59.2,2,1,1,2,61.74
5.21,0,2,0,1,0,0,1.2,9.7,84.3,1,6,3,83.8,1,1,2,2,44.96
7.06,0,3,1,1,0,0,8.3,7.1,93.9,2,1,3,68.0,2,0,0,3,0.0
6.28,4,3,0,0,1,0,89.6,5.9,47.5,1,2,0,48.5,1,1,2,0,49.6
5.64,4,2,0,1,0,0,43.2,6.6,76.8,3,6,2,91.6,1,1,2,2,42.07
8.36,4,2,0,1,0,0,63.6,5.3,98.7,2,6,1,77.5,1,1,2,0,49.38
9.69,4,2,0,0,0,1,81.8,5.3,70.4,2,5,0,73.5,1,1,2,0,47.14
5.76,5,3,0,1,1,0,16.1,7.3,88.7,2,3,3,72.9,2,0,0,3,0.0
9.0,5,1,0,1,1,1,18.8,6.1,87.0,1,6,1,91.7,3,1,0,0,87.71
8.39,1,1,1,1,0,0,12.5,6.3,78.6,2,6,0,87.8,2,1,1,1,49.88
6.78,2,1,1,0,0,0,64.2,4.4,74.8,1,4,0,53.1,1,1,2,2,42.34
6.61,1,3,1,0,0,1,98.2,5.3,89.5,1,5,0,69.2,2,1,0,1,73.24
8.68,2,2,1,1,0,0,63.6,8.7,47.1,1,6,1,88.5,2,1,0,1,86.1
5.83,1,2,1,1,0,1,93.0,8.7,43.4,2,2,1,89.5,3,1,1,1,64.4
5.67,1,3,0,1,0,0,73.0,8.6,49.5,1,4,0,70.0,1,1,2,0,38.02
5.22,5,2,0,0,0,1,97.5,6.2,65.7,2,6,0,78.5,1,1,2,0,42.88
5.7,0,1,1,0,0,1,2.2,8.0,97.8,1,5,0,78.2,2,1,1,3,66.09
8.27,2,1,0,1,0,1,60.9,6.1,46.8,0,4,0,54.2,2,1,0,2,87.73
7.02,2,1,1,1,0,1,22.6,9.1,65.7,0,6,1,89.0,3,1,0,0,82.5
5.31,4,3,1,1,0,0,78.6,5.2,55.5,0,4,1,55.8,2,0,0,3,0.0
9.39,3,3,1,1,0,0,98.5,8.6,41.6,0,6,0,73.6,2,1,1,3,60.46
6.99,5,1,0,0,0,0,9.4,6.1,85.4,0,1,0,27.5,0,0,0,3,0.0
5.79,0,1,1,1,0,1,90.6,5.7,99.0,0,1,0,50.7,3,1,0,1,75.33
9.84,5,1,1,0,1,0,98.8,6.9,47.3,2,2,0,74.5,2,1,0,0,71.46
7.64,5,3,1,1,0,1,18.7,9.1,89.1,1,3,1,87.2,3,1,1,1,56.33
9.1,3,1,1,1,0,0,8.7,8.3,65.2,3,3,0,92.4,2,1,1,2,61.19
7.36,2,2,1,1,0,1,32.5,8.1,44.2,0,1,0,64.2,3,1,0,2,75.38
6.08,2,1,1,0,1,0,75.9,9.4,54.0,2,4,0,85.8,2,1,1,1,63.21
7.24,1,1,1,1,0,0,97.7,4.7,65.4,0,6,2,61.9,2,1,0,0,90.3
9.02,5,2,0,1,1,0,82.9,5.7,92.4,0,6,0,62.8,2,1,0,1,80.03
9.12,4,1,0,0,1,0,6.4,9.3,92.6,0,6,1,64.8,1,1,2,1,41.26
5.17,3,1,1,1,1,0,6.4,9.0,75.9,0,5,0,77.3,3,1,0,1,83.62
8.47,1,2,0,1,0,0,34.1,5.0,50.2,3,6,0,87.0,1,1,2,3,44.46
6.92,1,3,1,1,1,1,74.4,7.0,78.0,0,1,0,61.4,4,1,1,1,56.63
7.25,2,1,1,1,0,0,47.4,7.5,72.2,2,1,0,62.9,2,1,0,2,87.9
7.56,3,1,0,1,0,0,61.7,4.7,60.7,1,1,0,40.9,1,1,2,3,45.06
5.83,4,1,1,1,1,1,25.8,8.0,57.8,2,4,1,99.0,4,1,0,3,73.67
8.02,2,2,1,0,0,0,36.9,4.7,65.1,2,1,0,47.3,1,1,2,1,43.52
8.23,4,1,1,1,0,0,11.6,4.9,50.3,1,5,2,65.4,2,1,0,1,61.99
6.48,3,2,1,1,0,0,55.9,6.1,83.8,1,4,0,71.8,2,1,0,0,80.42
7.95,0,2,0,0,0,0,75.9,4.6,93.4,0,3,0,30.9,0,1,2,0,38.24
7.15,1,3,0,1,0,0,2.5,7.9,78.2,0,3,0,46.8,1,0,0,3,0.0
8.03,3,3,1,0,1,0,68.8,4.8,69.1,0,3,0,45.8,2,0,0,3,0.0
6.04,5,2,1,0,0,0,14.7,6.9,47.8,2,5,2,73.8,1,1,2,2,46.18
9.92,0,2,0,1,0,0,34.0,7.2,49.2,1,2,0,49.1,1,1,2,1,44.47
8.55,5,2,0,1,0,0,83.1,7.3,49.9,1,5,0,68.2,1,1,2,2,47.88
9.4,0,3,1,1,0,0,39.5,4.2,68.5,1,3,0,58.5,2,1,0,3,73.67
8.73,2,3,1,0,0,0,3.4,9.8,96.9,1,4,0,73.0,1,1,2,0,41.56
6.02,3,3,1,0,0,0,57.7,9.2,98.8,1,3,0,63.5,1,1,2,2,47.02
5.3,3,3,0,1,0,0,31.2,5.5,41.8,3,5,2,76.7,1,0,0,3,0.0
8.44,4,2,1,1,0,0,35.9,8.8,56.7,0,1,1,56.3,2,0,0,3,0.0
9.97,0,3,0,0,0,0,63.3,4.4,40.3,3,4,0,65.9,0,1,2,3,45.74
7.44,0,3,0,0,0,0,34.9,4.7,88.5,3,2,0,50.1,0,1,2,1,43.55
9.21,2,2,0,1,0,1,66.7,5.3,91.8,1,6,0,73.6,2,1,0,2,89.54
6.1,1,2,0,0,0,1,18.8,8.3,92.0,1,4,0,60.6,1,1,2,0,40.42
9.11,1,1,1,1,0,0,77.5,5.6,69.8,0,2,1,49.0,2,1,0,0,66.47
8.92,5,2,1,1,1,0,46.7,6.0,96.4,0,4,0,66.6,3,1,1,3,58.16
9.46,2,2,1,1,0,1,8.9,8.1,69.6,1,3,1,81.1,3,1,0,0,88.45
6.39,5,1,0,1,1,0,47.5,7.8,100.0,0,6,2,73.4,2,1,0,1,68.07
6.85,3,3,0,1,0,1,85.0,5.3,79.4,1,6,0,77.7,2,1,0,3,70.96
8.69,1,3,0,1,0,1,19.9,9.3,57.2,1,1,1,65.7,2,1,0,1,81.79
9.56,5,3,1,1,1,0,73.6,6.0,94.4,0,5,0,77.6,3,1,1,0,60.07
8.86,3,3,1,1,0,0,77.0,8.8,47.2,0,5,0,73.8,2,1,1,2,64.47
8.32,2,2,1,1,0,0,83.0,7.6,57.5,0,3,0,53.5,2,1,0,1,80.21
7.37,3,3,0,1,1,1,99.1,7.3,97.8,0,1,0,59.2,3,1,1,0,70.41
6.38,3,2,1,1,1,0,64.3,8.9,96.8,0,6,0,90.6,3,1,0,3,68.88
8.15,1,1,1,0,1,0,24.2,7.0,80.8,0,6,2,73.6,2,1,0,3,74.55
9.32,1,1,1,1,0,0,99.5,7.2,63.5,1,1,0,61.1,2,1,1,2,75.89
6.3,2,3,1,1,0,1,98.1,5.1,87.6,3,2,0,84.3,3,1,1,0,64.75
8.87,0,1,0,0,0,1,96.0,8.6,91.3,1,5,0,69.4,1,1,2,0,44.79
6.11,4,1,0,1,1,0,42.9,4.2,68.9,1,2,2,49.1,2,1,1,1,56.87
7.41,0,1,1,0,0,0,44.4,5.7,77.3,3,5,0,80.7,1,1,2,1,41.32
9.59,3,3,0,1,0,0,3.6,5.1,92.0,0,5,0,52.5,1,0,0,3,0.0
7.14,0,2,0,1,0,0,90.4,9.1,64.1,2,2,1,67.7,1,1,2,3,43.46
7.97,1,3,0,1,0,0,87.9,6.8,45.7,2,5,1,78.1,1,1,2,1,52.09
7.32,1,3,0,0,1,0,54.7,7.2,75.4,0,6,0,66.3,1,1,2,3,40.25
6.15,3,2,0,1,1,0,66.3,8.5,90.9,1,2,1,68.7,2,1,0,1,68.57
10.0,4,3,1,0,1,0,15.0,6.3,64.9,2,3,0,74.1,2,1,1,2,60.15
9.75,0,2,1,0,0,1,70.8,5.0,98.3,1,2,0,57.1,2,1,1,1,67.47
9.31,4,3,0,1,0,0,33.6,9.9,91.4,2,4,0,79.1,1,1,2,3,44.44
7.53,0,3,1,1,0,1,12.4,8.8,77.0,2,4,0,96.4,3,1,0,1,82.12
6.54,0,2,1,0,1,1,95.2,5.4,92.8,2,4,0,84.4,3,1,0,1,70.95
9.68,3,3,1,1,0,0,16.3,5.1,41.2,1,5,0,71.5,2,1,1,0,54.9
8.92,3,3,0,0,0,0,5.7,6.2,96.7,1,6,1,54.8,0,0,0,3,0.0
8.93,1,3,1,1,0,1,91.5,4.1,67.0,3,2,3,78.4,3,1,1,3,70.83
6.73,5,2,1,0,0,0,26.9,5.7,79.4,3,3,0,68.8,1,1,2,1,38.99
8.48,1,2,1,0,0,1,70.4,6.2,73.8,1,6,0,76.3,2,1,1,3,70.59
5.77,2,1,1,1,1,0,58.8,8.2,80.8,1,1,0,74.0,3,1,1,0,56.71
8.09,5,2,1,0,0,0,74.3,6.0,93.4,0,1,0,30.6,1,1,2,1,43.78
7.95,2,2,1,1,0,1,9.1,5.2,92.6,2,1,0,68.3,3,1,0,2,78.44
8.03,1,2,1,0,1,1,80.5,8.9,96.0,1,6,0,96.8,3,1,1,1,61.56
7.14,2,2,0,1,0,1,91.5,9.2,42.1,2,2,0,75.1,2,1,0,0,82.85
9.68,5,1,0,1,0,0,2.2,5.8,70.2,0,6,0,54.5,1,1,2,1,41.22
7.04,4,1,1,0,0,1,94.3,8.5,83.2,2,3,0,78.4,2,1,0,3,84.2
6.78,1,1,1,1,1,0,91.4,9.7,59.6,1,2,0,76.4,3,1,0,1,73.9
6.74,0,2,1,1,1,0,46.2,6.5,40.8,0,5,0,76.7,3,1,0,3,77.23
9.31,2,3,1,1,0,0,34.5,6.5,83.9,2,2,0,65.6,2,1,0,3,81.46
5.29,3,1,1,0,0,1,61.6,7.3,64.9,1,3,0,66.0,2,1,0,1,73.15
7.88,3,2,0,1,0,0,93.3,6.6,98.8,1,5,0,68.8,1,1,2,2,46.32
5.09,5,2,1,0,0,0,62.8,8.1,55.2,0,4,0,56.8,1,1,2,3,45.83
5.64,0,2,0,1,0,1,40.5,6.9,40.8,1,1,1,59.7,2,0,0,3,0.0
5.33,2,2,1,0,0,1,6.7,7.9,44.4,1,5,3,76.0,2,1,0,3,70.19
8.65,5,3,1,1,0,0,4.5,6.1,95.8,1,2,0,58.1,2,0,0,3,0.0
9.02,1,3,1,1,0,1,58.4,8.7,85.1,2,2,1,81.2,3,1,1,1,63.37
6.73,3,1,1,0,0,1,43.3,8.6,91.2,1,6,0,85.5,2,1,0,0,70.13
6.21,3,2,0,0,1,0,18.8,4.5,81.8,1,2,0,48.1,1,0,0,3,0.0
7.75,0,2,1,1,1,0,52.9,9.0,67.8,0,3,0,69.6,3,1,1,0,69.71
5.94,1,3,0,1,0,0,3.1,5.6,42.0,2,3,1,63.1,1,0,0,3,0.0
8.92,3,3,1,0,0,1,43.6,8.0,45.7,2,1,0,64.7,2,1,1,1,59.68
9.03,3,1,1,1,0,0,41.1,4.8,41.3,1,3,0,54.5,2,1,0,2,62.23
9.58,3,3,1,0,0,0,0.5,9.6,64.9,1,3,0,68.7,1,1,2,2,44.62
6.95,0,3,0,1,1,1,34.2,7.2,52.7,3,4,0,105.2,3,1,1,3,66.71
9.16,4,2,1,1,0,1,63.2,4.3,78.7,3,6,0,99.5,3,1,0,1,77.02
7.28,0,2,1,1,0,0,77.9,7.7,82.0,2,6,0,97.2,2,1,1,3,73.8
9.17,2,1,1,0,1,0,59.4,8.2,44.0,0,1,0,53.4,2,1,1,3,56.0
9.43,2,2,0,1,0,1,99.7,4.2,93.8,1,1,0,51.1,2,1,0,3,71.84
9.08,2,2,1,1,0,0,7.1,5.3,53.8,1,6,2,71.6,2,1,0,0,85.89
5.57,0,2,0,0,0,1,22.0,4.1,89.6,1,4,0,47.9,1,0,0,3,0.0
9.05,0,3,0,0,1,0,8.3,6.9,58.1,1,6,0,71.5,1,1,2,2,39.72
6.37,2,1,1,0,0,0,82.2,4.3,65.1,1,5,0,58.4,1,1,2,2,44.83
5.22,1,1,0,1,1,1,1.6,7.1,68.3,1,4,0,84.7,3,1,1,2,55.38
7.27,4,1,1,0,0,1,17.5,7.4,74.8,1,6,0,82.7,2,1,1,2,51.48
5.93,5,1,0,0,0,1,28.6,9.6,98.2,1,1,1,51.3,1,1,2,1,47.07
8.65,4,2,1,0,1,0,25.3,7.1,71.3,1,4,0,75.0,2,1,1,2,63.96
7.29,5,1,1,0,0,1,4.0,5.7,52.5,0,3,0,47.2,2,1,1,3,57.67
7.56,1,2,1,1,0,1,47.6,8.0,85.8,0,1,0,60.2,3,1,0,0,76.5
5.17,4,3,1,0,1,0,2.5,6.7,54.2,0,1,1,49.2,2,0,0,3,0.0
9.61,5,3,1,1,0,0,56.8,7.9,52.6,1,5,0,83.0,2,1,0,2,70.19
7.62,4,2,1,0,0,0,96.1,8.0,96.0,0,1,0,35.9,1,1,2,2,47.22
7.53,5,1,1,1,0,0,67.8,7.3,60.8,1,3,0,65.3,2,1,0,0,72.55
9.17,5,3,1,0,0,1,6.2,4.6,49.8,1,6,0,77.9,2,1,0,3,66.39
8.24,3,3,0,0,0,0,94.2,8.7,67.7,2,4,0,65.1,0,1,2,1,54.48
6.57,0,3,1,0,0,0,34.2,6.6,89.9,0,6,0,56.0,1,1,2,1,44.88
8.67,0,3,1,1,0,0,4.5,5.3,40.9,1,5,1,71.6,2,1,1,0,54.74
5.05,1,3,1,1,0,0,46.4,4.7,98.8,0,1,1,41.9,2,0,0,3,0.0
8.08,0,3,1,0,1,1,74.8,7.4,54.8,1,6,0,96.9,3,1,0,2,68.94
8.46,2,3,1,0,0,0,57.8,6.2,89.4,2,6,1,81.5,1,1,2,3,40.94
5.78,1,2,1,0,1,0,18.3,4.8,74.6,2,5,0,77.4,2,1,0,2,86.84
7.66,5,3,0,1,0,0,65.6,9.8,73.7,2,5,0,81.8,1,1,2,0,49.0
8.47,0,2,1,0,0,1,4.7,5.9,66.3,2,2,0,66.2,2,1,1,3,60.54
6.98,0,2,0,0,1,0,41.9,5.0,92.8,1,6,0,69.7,1,1,2,0,42.6
5.25,1,2,1,0,0,0,9.1,5.9,42.6,2,4,0,71.6,1,1,2,1,38.38
6.19,3,1,0,1,0,0,25.0,7.3,56.5,3,6,0,87.3,1,1,2,0,41.56
9.83,5,3,1,1,0,1,80.5,9.7,64.0,2,3,0,96.9,3,1,0,3,85.75
6.52,3,2,0,0,1,0,49.7,9.5,86.6,0,1,1,45.7,1,1,2,0,42.72
5.26,2,1,0,0,0,0,83.0,9.7,58.3,0,6,1,63.4,0,1,2,2,35.56
7.87,2,2,1,0,0,0,78.7,5.8,42.4,1,5,0,57.5,1,1,2,1,46.2
8.76,3,3,0,1,0,0,41.0,5.0,53.3,0,4,1,49.3,1,0,0,3,0.0
7.25,5,3,0,1,0,0,75.2,4.3,69.6,1,3,0,49.8,1,1,2,3,39.16
6.48,2,1,1,1,1,0,40.8,4.8,50.3,2,6,0,96.4,3,1,1,3,58.47
9.48,2,1,0,0,0,0,67.2,9.0,80.4,2,2,0,58.6,0,1,2,3,38.73
9.95,4,2,0,0,0,0,16.9,6.1,85.7,1,3,3,46.0,0,0,0,3,0.0
7.23,2,2,1,1,0,1,2.4,6.6,56.7,0,5,1,70.0,3,1,0,0,86.49
6.47,5,3,0,1,0,1,10.3,4.8,98.7,1,5,0,65.9,2,1,1,0,59.04
5.01,5,1,1,0,0,0,94.3,5.9,79.7,1,5,0,59.8,1,1,2,1,45.36
9.98,0,1,0,1,0,0,2.8,7.7,88.4,2,4,1,74.8,1,1,2,3,45.78
9.03,3,3,1,1,0,0,2.5,6.2,72.8,2,6,1,92.2,2,1,1,1,72.83
